Id,Label,그룹,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality,원문,번역,
C01B32,C01B32,,,60,20719.46273,7,0.356471,0.389969,0.010038,8,0.236119,404,0.243505,,,
D01F9,D01F9,,,24,10982.65234,7,0.305647,0.328182,0.000298,8,0.494071,125,0.0531,,,
G01D5,G01D5,,,20,8335.182884,7,0.327801,0.352395,0.000173,26,0.549708,94,0.090729,,,
G01R33,G01R33,,,38,38885.63281,7,0.333478,0.362081,0.002841,26,0.414414,276,0.142151,,,
G02B6,G02B6,,,108,105769.7116,6,0.384334,0.426201,0.015256,19,0.165403,938,0.404449,Light guides,라이트 가이드,
A41D19,A41D19,,,8,1155.183136,7,0.318935,0.339731,0,19,0.857143,18,0.036991,,,
B33Y80,B33Y80,,,90,20645.89243,6,0.374615,0.412938,0.011652,20,0.192033,752,0.282286,,,
G06F3,G06F3,1,,233,185917.0758,7,0.412752,0.471016,0.071596,19,0.101321,2715,0.850258,"Input arrangements for transferring data to be processed into a form capable of being handled by the computer; Output arrangements for transferring data from processing unit to output unit, e.g. interface arrangements","컴퓨터로 처리할 수 있는 형식으로 데이터 전송하는 입력기구; 처리장치로부터 출력장치로 데이터를 전송하기 위한 출력기구, 예. 인터페이스 기구",인쇄회로
A41F9,A41F9,,,7,845.074242,8,0.260189,0.273511,0,30,1,15,0.006007,,,
A45C3,A45C3,,,14,2809.710014,8,0.291131,0.309224,0.000181,30,0.589744,46,0.021161,,,
A41G3,A41G3,,,5,3652.528595,8,0.240654,0.250996,0,11,1,6,0.003592,,,
A63B33,A63B33,,,5,913.132149,8,0.240654,0.250996,0,11,1,6,0.003592,,,
A43B13,A43B13,,,7,6747.775757,8,0.228948,0.238204,0,23,1,15,0.002146,,,
A43B21,A43B21,,,7,1349.555107,8,0.228948,0.238204,0,23,1,15,0.002146,,,
A43B7,A43B7,,,7,1349.555107,8,0.228948,0.238204,0,23,1,15,0.002146,,,
B29D35,B29D35,,,7,1349.555107,8,0.228948,0.238204,0,23,1,15,0.002146,,,
B29K2021,B29K2021,,,7,1349.555107,8,0.228948,0.238204,0,23,1,15,0.002146,,,
A43C1,A43C1,,,5,669.059624,8,0.228903,0.237771,0,23,1,6,0.001554,,,
A43C11,A43C11,,,5,1338.119247,8,0.228903,0.237771,0,23,1,6,0.001554,,,
F16B1,F16B1,,,5,669.059624,8,0.228903,0.237771,0,23,1,6,0.001554,,,
A44B11,A44B11,,,2,2177.585449,0,0,0,0,3,0,0,0.000182,,,
A44C15,A44C15,,,3,469.95163,8,0.253844,0.264582,0,24,1,1,0.002135,,,
