search URL:,https://patents.google.com/?q=polyethyleneterephthalate&country=US&before=priority:20190131&after=priority:20190101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-11155751-B2,Method of treating subterranean formations with composites having enhanced strength ,Baker Hughes Holdings Llc,"Naima Bestaoui-Spurr, Hanh Nguyen",2019-01-22,2019-01-22,2021-10-26,2021-10-26,https://patents.google.com/patent/US11155751B2/en,https://patentimages.storage.googleapis.com/de/c3/43/225782996a4cd7/US11155751-20211026-D00000.png
US-2020243907-A1,Electrolyte and electrochemical device ,Ningde Amperex Technology Limited,"Shuirong Zhang, Wenqiang LI, Juan Ma, Chao Tang",2019-01-25,2020-01-06,2020-07-30,,https://patents.google.com/patent/US20200243907A1/en,
US-2021257662-A1,Electrolyte solution and electrochemical device using the same ,Ningde Amperex Technology Limited,"Wenqiang LI, Shuirong Zhang, Chunrui XU, Juan Ma",2019-01-25,2020-01-20,2021-08-19,,https://patents.google.com/patent/US20210257662A1/en,
US-2020283372-A1,Lipids for lipid nanoparticle delivery of active agents ,"Acuitas Therapeutics, Inc.",Xinyao Du,2019-01-11,2020-01-10,2020-09-10,,https://patents.google.com/patent/US20200283372A1/en,
US-2020233940-A1,Vehicle occupant tracking and trust ,"Toyota Motor North America, Inc.",Michael C. Edwards,2019-01-17,2019-01-17,2020-07-23,,https://patents.google.com/patent/US20200233940A1/en,https://patentimages.storage.googleapis.com/fb/57/b9/107552646583d2/US20200233940A1-20200723-D00000.png
US-10860864-B2,Surveillance and image analysis in a monitored environment ,"Charter Communications Operating, Llc",Karim Ghessassi,2019-01-16,2019-01-16,2020-12-08,2020-12-08,https://patents.google.com/patent/US10860864B2/en,https://patentimages.storage.googleapis.com/be/60/ec/b8495849fc7f8e/US10860864-20201208-D00000.png
US-2021186448-A1,Systems and methods for characterizing high risk plaques ,"Cleerly, Inc.",James K. Min,2019-01-25,2020-09-25,2021-06-24,,https://patents.google.com/patent/US20210186448A1/en,https://patentimages.storage.googleapis.com/0e/79/2b/1cbdcc70dda99e/US20210186448A1-20210624-D00000.png
US-2020224836-A1,Portable light having a movable head and assembly method ,"Streamlight, Inc.",W. Ross McLennan,2019-01-15,2020-01-09,2020-07-16,,https://patents.google.com/patent/US20200224836A1/en,https://patentimages.storage.googleapis.com/b1/3c/93/5e61095e26d42f/US20200224836A1-20200716-D00000.png
US-10526441-B1,Polypyrrole-coated silver particles for surface enhanced Raman scattering ,King Fahd University Of Petroleum And Minerals,"Umair Baig, Mohammad Kamal HOSSAIN",2019-01-23,2019-01-23,2020-01-07,2020-01-07,https://patents.google.com/patent/US10526441B1/en,https://patentimages.storage.googleapis.com/33/4b/64/0f7e805c2e7ce1/US10526441-20200107-D00000.png
US-10611564-B1,Height adjustable waste disposal device with bag-grabbing membrane ,"Dooli Products, LLC",David M Stravitz,2019-01-02,2019-01-02,2020-04-07,2020-04-07,https://patents.google.com/patent/US10611564B1/en,https://patentimages.storage.googleapis.com/16/0d/8f/7820244eecc1c8/US10611564-20200407-D00000.png
US-2020216536-A1,Compositions for increasing half-life of a therapeutic agent in canines and methods of use ,Invetx Inc.,"William Brondyk, Brett Chevalier, Juergen Horn, Madhusudan Natarajan",2019-01-03,2020-01-02,2020-07-09,,https://patents.google.com/patent/US20200216536A1/en,https://patentimages.storage.googleapis.com/d8/c4/29/0534ddfd880963/US20200216536A1-20200709-D00000.png
US-D925135-S,Grooming tool ,"Aaronco Pet Products, Inc.",Samuel Kohl,2019-01-28,2020-09-25,2021-07-13,2021-07-13,https://patents.google.com/patent/USD925135S1/en,https://patentimages.storage.googleapis.com/86/ef/16/eee111dcb3b699/USD0925135-20210713-D00000.png
US-D883581-S,Reversible harness ,"Frenchie Bulldog, LLC","Bridget Daly, Austin Stevens",2019-01-04,2019-01-04,2020-05-05,2020-05-05,https://patents.google.com/patent/USD883581S1/en,https://patentimages.storage.googleapis.com/16/84/4c/40cd8d4f6eb59a/USD0883581-20200505-D00000.png
US-2021168489-A1,Loudspeaker device ,"Shenzhen Voxtech Co., Ltd.","Lei Zhang, Yongjian LI, Wenbing ZHOU, Jinbo ZHENG, Zhuyang JIANG",2019-01-05,2021-02-10,2021-06-03,,https://patents.google.com/patent/US20210168489A1/en,https://patentimages.storage.googleapis.com/a0/45/69/6e29d8c613c11f/US20210168489A1-20210603-D00000.png
US-2020212383-A1,Through silicon via energy storage devices ,International Business Machines Corporation,"John Collins, Mahadevaiyer Krishnan, John Papalia, Robert Bruce, Adele L. PACQUETTE",2019-01-02,2019-01-02,2020-07-02,,https://patents.google.com/patent/US20200212383A1/en,https://patentimages.storage.googleapis.com/13/29/5d/2a8cbc6b82c324/US20200212383A1-20200702-D00000.png
US-2020240055-A1,Warp-knitted spacer fabric ,"Stefan Mueller, Joachim Weis","Stefan Mueller, Joachim Weis",2019-01-29,2020-01-16,2020-07-30,,https://patents.google.com/patent/US20200240055A1/en,https://patentimages.storage.googleapis.com/7b/01/bb/6475c037b19f43/US20200240055A1-20200730-D00000.png
US-2020234029-A1,Screen protector system for use with a display screen ,"Otter Products, Llc","Casey K. Fukunaga, Gregory C. Cortese, Anastacio Quinto, Richard W. Grant, III, Zachary W. Zupancic, Jennie-Rose Barrella, Sarah E. Chin",2019-01-18,2020-01-08,2020-07-23,,https://patents.google.com/patent/US20200234029A1/en,https://patentimages.storage.googleapis.com/7b/81/10/639157d78f502e/US20200234029A1-20200723-D00000.png
US-2021043714-A1,"Display substrate, preparation method therefor, and display device ","Boe Technology Group Co., Ltd.","Ming Wang, Wei Li, Ce Zhao, Wei Song",2019-01-10,2020-01-03,2021-02-11,,https://patents.google.com/patent/US20210043714A1/en,https://patentimages.storage.googleapis.com/65/26/90/2beed4b2c8623c/US20210043714A1-20210211-D00000.png
US-2020239589-A1,Methods of treating multiple myeloma ,Sanofi,"Heloise AUDAT, Audrey BONESTEBE, Frank CAMPANA ZAMBRANO, Sylvain Huille, Solenn LE-GUENNEC, Lucie MANACHE-ALBERICI",2019-01-28,2020-01-28,2020-07-30,,https://patents.google.com/patent/US20200239589A1/en,https://patentimages.storage.googleapis.com/38/f3/7e/87d711ef27d148/US20200239589A1-20200730-D00000.png
US-2020232986-A1,Sensors for detecting and imaging of cancer metastasis ,Massachusetts Institute Of Technology,"Sangeeta N. Bhatia, Liangliang Hao",2019-01-17,2020-01-17,2020-07-23,,https://patents.google.com/patent/US20200232986A1/en,https://patentimages.storage.googleapis.com/0b/c0/6d/4d83fc4f32cc0a/US20200232986A1-20200723-D00000.png
US-2020242776-A1,"Medical image processing apparatus, medical image processing method, and system ","Ziosoft, Inc.","Tsuyoshi Nagata, Yuichiro HOURAI, Yusuke Inoue",2019-01-29,2020-01-29,2020-07-30,,https://patents.google.com/patent/US20200242776A1/en,https://patentimages.storage.googleapis.com/42/5e/6d/2c30c0bfc561c8/US20200242776A1-20200730-D00000.png
US-2020222839-A1,System and method for engineered ceramic packages for use in fluid treatment technologies ,"Lawrence Livermore National Security, Llc","James Patrick KELLY, Jeffery J. Haslam, Mark Mitchell",2019-01-11,2020-02-24,2020-07-16,,https://patents.google.com/patent/US20200222839A1/en,https://patentimages.storage.googleapis.com/29/ea/cf/1792207524f23a/US20200222839A1-20200716-D00000.png
US-2020219019-A1,Artificial intelligence device and operating method thereof ,Lg Electronics Inc.,"Junghwa CHOI, Yeonjung KIM",2019-01-07,2020-01-06,2020-07-09,,https://patents.google.com/patent/US20200219019A1/en,https://patentimages.storage.googleapis.com/10/ad/02/438b8e2c93ad45/US20200219019A1-20200709-D00000.png
US-2020215335-A1,Implantable devices with welded multi-contact electrodes and continuous conductive elements ,"MicroLeads, Inc.","Bryan McLaughlin, Girish Chitnis, John Ogren",2019-01-07,2019-11-11,2020-07-09,,https://patents.google.com/patent/US20200215335A1/en,https://patentimages.storage.googleapis.com/97/90/80/f6eda0dd33825f/US20200215335A1-20200709-D00000.png
US-2020255418-A1,Fxr (nr1h4) modulating compounds ,"Gilead Sciences, Inc.","Peter A. Blomgren, Kevin S. Currie, Morin Mae Frick, Elizabeth M. Horstman, Joshua A. Kaplan, Jeffrey E. Kropf, William J. Watkins",2019-01-15,2020-01-13,2020-08-13,,https://patents.google.com/patent/US20200255418A1/en,https://patentimages.storage.googleapis.com/15/8d/e8/6f408f9628765e/US20200255418A1-20200813-D00001.png
US-2020238611-A1,"Plasticizing apparatus, plasticizing method, and three-dimensional shaping apparatus ",Seiko Epson Corporation,Manabu Watanabe,2019-01-28,2020-01-27,2020-07-30,,https://patents.google.com/patent/US20200238611A1/en,https://patentimages.storage.googleapis.com/04/3f/5f/c88fa08622e78b/US20200238611A1-20200730-D00000.png
US-2020238706-A1,Liquid absorber and liquid ejection apparatus ,Seiko Epson Corporation,"Masahiko Nakazawa, Shogo Nakada, Yoichi Miyasaka",2019-01-28,2020-01-27,2020-07-30,,https://patents.google.com/patent/US20200238706A1/en,https://patentimages.storage.googleapis.com/fb/6a/26/d314b9e50cf9ec/US20200238706A1-20200730-D00000.png
US-2020238612-A1,"Plasticizing apparatus, plasticizing method, and three-dimensional shaping apparatus ",Seiko Epson Corporation,Manabu Watanabe,2019-01-28,2020-01-27,2020-07-30,,https://patents.google.com/patent/US20200238612A1/en,https://patentimages.storage.googleapis.com/ea/0c/e4/ff50850e2cea7b/US20200238612A1-20200730-D00000.png
US-2020214800-A1,Systems and methods for nonlinear tooth modeling ,"Align Technology, Inc.","Vadim Matov, Sergei Brodsky, Bastien Pesenti, Yuri Syrov, Ping Tang, Manlio Valdivieso, Olga MATUSEVICH, Igor Kvasov",2019-01-03,2019-12-30,2020-07-09,,https://patents.google.com/patent/US20200214800A1/en,https://patentimages.storage.googleapis.com/ff/3e/27/ed83b5adf7bf64/US20200214800A1-20200709-D00000.png
US-10964187-B2,Smart surveillance system for swimming pools ,"Pool Knight, Llc","Ramy R. Gali, Phillip E. Matar, David C. May",2019-01-29,2020-01-28,2021-03-30,2021-03-30,https://patents.google.com/patent/US10964187B2/en,https://patentimages.storage.googleapis.com/d3/ff/95/bc5e0e6e10ac80/US10964187-20210330-D00000.png
US-2021083327-A1,Electrolyte and electrochemical device ,Ningde Amperex Technology Limited,"Junfei LIU, Shuirong Zhang, Juan Ma, Chao Tang",2019-01-25,2020-01-20,2021-03-18,,https://patents.google.com/patent/US20210083327A1/en,
US-2020233629-A1,Display device and method of driving the same ,"Samsung Display Co., Ltd.","Eun Kyung Yeon, Yi Joon Ahn, Ga Na KIM, Jung Hun NOH, Jae Been LEE",2019-01-22,2019-11-25,2020-07-23,,https://patents.google.com/patent/US20200233629A1/en,https://patentimages.storage.googleapis.com/2f/45/ff/229fe6c962398e/US20200233629A1-20200723-D00000.png
US-2020226422-A1,Systems and methods for classification of arterial image regions and features thereof ,"Lightlab Imaging, Inc.","Shimin Li, Ajay Gopinath, Kyle Savidge",2019-01-13,2020-01-13,2020-07-16,,https://patents.google.com/patent/US20200226422A1/en,https://patentimages.storage.googleapis.com/64/36/7b/a0e0a681424202/US20200226422A1-20200716-D00000.png
US-D917107-S,Automatic water dispenser for pet ,Dogness Group LLC,"Silong CHEN, Yunhao CHEN",2019-01-21,2019-03-27,2021-04-20,2021-04-20,https://patents.google.com/patent/USD917107S1/en,https://patentimages.storage.googleapis.com/7e/61/84/57a7a6ca8bb96a/USD0917107-20210420-D00000.png
US-2021167317-A1,Gasket for display device and display device ,"Chengdu Boe Optoelectronics Technology Co., Ltd., Boe Technology Group Co., Ltd.","Chao Fu, Shihua HUANG, Jing Wang, Wei Li",2019-01-17,2019-12-18,2021-06-03,,https://patents.google.com/patent/US20210167317A1/en,https://patentimages.storage.googleapis.com/bd/d7/75/828448c60a01c4/US20210167317A1-20210603-D00000.png
US-2020291409-A1,"Gas vesicle expression systems, gas vesicle constructs and related genetic circuits, vectors, mammalian cells, hosts, compositions, methods and systems ",California Institute Of Technology,"Arash FARHADI, Gabrielle H HO, Daniel P SAWYER, Mikhail SHAPIRO",2019-01-07,2020-01-07,2020-09-17,,https://patents.google.com/patent/US20200291409A1/en,https://patentimages.storage.googleapis.com/9e/bf/5f/7cd76a392d7af8/US20200291409A1-20200917-D00000.png
US-2020243802-A1,Display device ,"Samsung Display Co., Ltd.","Jin Ho JU, Dong Ki Lee",2019-01-24,2019-11-20,2020-07-30,,https://patents.google.com/patent/US20200243802A1/en,https://patentimages.storage.googleapis.com/8c/56/21/34f36f30d50fb5/US20200243802A1-20200730-D00000.png
US-2021226144-A1,Quantum dot light-emitting device and preparation method thereof ,"Beijing Boe Technology Development Co., Ltd., Boe Technology Group Co., Ltd.",Dong Li,2019-01-11,2019-12-16,2021-07-22,,https://patents.google.com/patent/US20210226144A1/en,https://patentimages.storage.googleapis.com/56/2d/5c/c21f8a03377e11/US20210226144A1-20210722-D00000.png
US-D895903-S,Collapsible pet carrier ,Jennifer Sturiale,Jennifer Sturiale,2019-01-25,2019-01-25,2020-09-08,2020-09-08,https://patents.google.com/patent/USD895903S1/en,https://patentimages.storage.googleapis.com/6b/37/69/c774f519b39718/USD0895903-20200908-D00000.png
US-D917799-S,Pet toy ,"Doskocil Manufacturing Company, Inc",Thi Vu,2019-01-14,2019-01-14,2021-04-27,2021-04-27,https://patents.google.com/patent/USD917799S1/en,https://patentimages.storage.googleapis.com/99/ea/57/c299f44fed52db/USD0917799-20210427-D00000.png
US-D929672-S,Pet feeder ,"Purely Pups, LLC",Robert Carl Hoover,2019-01-11,2019-01-11,2021-08-31,2021-08-31,https://patents.google.com/patent/USD929672S1/en,https://patentimages.storage.googleapis.com/25/25/0b/cc5249c9bb8c73/USD0929672-20210831-D00000.png
US-D889049-S,Pet bowl ,Dogness Group LLC,"Silong CHEN, Yunhao CHEN",2019-01-24,2019-03-27,2020-06-30,2020-06-30,https://patents.google.com/patent/USD889049S1/en,https://patentimages.storage.googleapis.com/fc/fe/d1/5dac86ff1d343e/USD0889049-20200630-D00000.png
US-D889756-S,Pet chew toy ,"Davinci Ii Csj, Llc",Ryan Kelly,2019-01-18,2019-01-18,2020-07-07,2020-07-07,https://patents.google.com/patent/USD889756S1/en,https://patentimages.storage.googleapis.com/0f/02/38/304265dc0549f3/USD0889756-20200707-D00000.png
US-2020216630-A1,Polymeric composites with tunable properties ,Syracuse University,Wanliang Shan,2019-01-04,2020-01-03,2020-07-09,,https://patents.google.com/patent/US20200216630A1/en,https://patentimages.storage.googleapis.com/90/2e/c0/5482a00b2049ed/US20200216630A1-20200709-D00000.png
