Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,clustering,triangles,eigencentrality
F42B7,F42B7,,17,3090.133316,5,0.331146,0.346429,0,14,0.983333,118,0.015229
H02S99,H02S99,,56,11665.599072,5,0.408433,0.432412,0.00007,5,0.466667,693,0.13687
E05B47,E05B47,,79,52671.59832,5,0.397266,0.423514,0.000887,36,0.268065,805,0.120719
E05B65,E05B65,,49,17723.985283,5,0.367539,0.390289,0.00025,36,0.325355,367,0.062173
E05C17,E05C17,,32,17397.403374,5,0.347527,0.366623,0.000017,36,0.522581,243,0.052735
E05G7,E05G7,,31,7707.806534,5,0.341372,0.359194,0.000021,15,0.643678,280,0.03755
G07C2009,G07C2009,,120,136579.239483,5,0.400376,0.430031,0.001169,36,0.287993,2022,0.234186
A47C16,A47C16,,12,4347.159882,5,0.344221,0.359433,0.000053,14,0.654545,36,0.011464
A47C9,A47C9,,5,828.731049,5,0.289051,0.298266,0,14,1,6,0.001601
F24F2221,F24F2221,,45,18333.938187,5,0.380933,0.403163,0.000532,5,0.301268,285,0.046318
F24H3,F24H3,,13,9950.59259,5,0.315512,0.327038,0.000018,5,0.560606,37,0.005046
F25B2321,F25B2321,,14,7742.346039,5,0.314478,0.325669,0.000008,6,0.628205,49,0.005513
H01L35,H01L35,,80,31575.240097,5,0.412739,0.438664,0.001343,5,0.273937,844,0.143907
A47C17,A47C17,,7,2358.35321,6,0.300345,0.310202,0,14,1,15,0.002572
A47C19,A47C19,,7,1179.176605,6,0.300345,0.310202,0,14,1,15,0.002572
H02N15,H02N15,,14,3508.95739,5,0.354725,0.373727,0.000145,12,0.384615,30,0.027144
A47C21,A47C21,,17,7401.263573,5,0.324178,0.338104,0.000002,7,0.816667,98,0.013321
A47G2009,A47G2009,,14,3694.149117,5,0.322923,0.336288,0,7,1,78,0.011602
A61F5,A61F5,,45,30040.557907,5,0.362502,0.384276,0.000335,7,0.29704,281,0.0405
A61G7,A61G7,,23,15613.930229,5,0.341251,0.357955,0.000068,7,0.376623,87,0.018866
A47C27,A47C27,,9,4600.573883,5,0.341494,0.355887,0.000021,5,0.642857,18,0.010184
F04B39,F04B39,,15,7771.023514,5,0.324535,0.336909,0.000034,6,0.494505,45,0.007628
F04B45,F04B45,,16,4546.268631,5,0.336049,0.350634,0.000022,6,0.485714,51,0.012623
F04B53,F04B53,,32,9564.97744,5,0.335784,0.351721,0.000384,6,0.296774,138,0.016466
F04D27,F04D27,,32,10339.161758,5,0.369699,0.390837,0.000129,5,0.410753,191,0.045259
A61G2200,A61G2200,,14,5756.660599,5,0.334205,0.348962,0.000007,7,0.641026,50,0.013101
A61G5,A61G5,,47,46759.564278,5,0.397431,0.421116,0.000254,7,0.343961,356,0.102358
F03G7,F03G7,,43,12028.957493,5,0.389205,0.412218,0.001149,5,0.2741,236,0.059767
F24F3,F24F3,,23,6003.329338,5,0.348442,0.365433,0.000043,5,0.506494,117,0.025073
A47D1,A47D1,,11,22598.343201,5,0.31515,0.326177,0,0,1,45,0.004938
A47D11,A47D11,,12,4097.198395,5,0.315175,0.326308,0.000002,0,0.890909,49,0.005053
A47G21,A47G21,,18,15100.348907,5,0.324754,0.33727,0.000091,6,0.477941,65,0.008464
B62B2206,B62B2206,,22,7809.017227,5,0.355185,0.373653,0.000119,14,0.461905,97,0.017523
B62B7,B62B7,,22,25102.472321,5,0.338331,0.35348,0.000239,14,0.419048,88,0.015838
B62B9,B62B9,,22,43486.149872,5,0.338331,0.35348,0.000239,14,0.419048,88,0.015838
A47D9,A47D9,,8,2823.815491,5,0.310105,0.320751,0.000001,0,0.809524,17,0.004049
A47D7,A47D7,,6,3490.977417,5,0.30913,0.31936,0,0,1,10,0.003572
A47F1,A47F1,,5,2492.012421,6,0.282163,0.291419,0.000001,6,0.666667,4,0.001282
A47J47,A47J47,,8,5550.900635,6,0.316815,0.326973,0.000034,6,0.761905,16,0.004573
A47F13,A47F13,,4,591.94809,5,0.297387,0.3068,0,36,1,3,0.002603
A63B47,A63B47,,28,17660.163712,5,0.351733,0.370577,0.000077,3,0.492877,173,0.032156
B60L53,B60L53,,300,450844.102009,4,0.456286,0.49496,0.003449,0,0.186169,8294,0.595821
B62D65,B62D65,,70,30211.995724,5,0.398628,0.424201,0.000228,0,0.381074,894,0.160565
G06K17,G06K17,,33,9066.2509,5,0.388416,0.410441,0.000094,36,0.699597,347,0.101623
G07G1,G07G1,,50,32718.336967,4,0.39896,0.422271,0.000087,36,0.567177,667,0.145639
G08G1,G08G1,,205,371692.795563,4,0.439404,0.472736,0.001484,0,0.288419,5972,0.48691
H04N1,H04N1,,96,88902.897617,5,0.412517,0.43932,0.000666,12,0.41523,1854,0.250566
A47G2019,A47G2019,,10,3896.06517,5,0.323877,0.337378,0,6,0.972222,35,0.011404
